Team           |  Name             | Phone
The Magicians  |  Ari Brown        | 16037297097
The Magicians  |  Someone Else     | 1438798274
The Sun        |  Sdfj SDfds       | 10298098234
The Moon       |  asdf asd         | 1231223123
Queen of Cups  |  asdf asdf        | 213423123
the sun        |  fgnc dfbn        | 5474567565
the magician   |  asdfa fdgh       | 1341231e
the joker      |  bxcvb sdfg       | 56457456 
queen of cups  |  dsfg xvxb        | 234234234234
the moon       |  sdfg  ert        | 234112341 
the stars      |  cnb dgh          | 567567
the empress    |  cvjfg edfdshdfg  | 234534566
the emperor    |  cbnc    jh fghd  | 232342
the hierophant |  sbv cvbn         | 1234
the lovers     |  sdfg gfh         | 23423
the chariot    |  cvb fhj          | 3453
the tower      |  cvbsdfgs         | 345435345345
